AQI,Category,Covid
137,Unhealthy for Sensitive Groups,lock
156,Unhealthy,lock
164,Unhealthy,lock
169,Unhealthy,lock
168,Unhealthy,lock
161,Unhealthy,lock
158,Unhealthy,lock
166,Unhealthy,lock
165,Unhealthy,lock
157,Unhealthy,lock
157,Unhealthy,lock
142,Unhealthy for Sensitive Groups,lock
133,Unhealthy for Sensitive Groups,lock
142,Unhealthy for Sensitive Groups,lock
144,Unhealthy for Sensitive Groups,lock
132,Unhealthy for Sensitive Groups,lock
132,Unhealthy for Sensitive Groups,lock
140,Unhealthy for Sensitive Groups,lock
154,Unhealthy,lock
161,Unhealthy,lock
168,Unhealthy,lock
174,Unhealthy,lock
184,Unhealthy,lock
188,Unhealthy,lock
185,Unhealthy,lock
184,Unhealthy,lock
207,Very Unhealthy,lock
244,Very Unhealthy,lock
263,Very Unhealthy,lock
281,Very Unhealthy,lock
289,Very Unhealthy,lock
271,Very Unhealthy,lock
269,Very Unhealthy,lock
209,Very Unhealthy,lock
180,Unhealthy,lock
168,Unhealthy,lock
162,Unhealthy,lock
159,Unhealthy,lock
158,Unhealthy,lock
160,Unhealthy,lock
161,Unhealthy,lock
161,Unhealthy,lock
163,Unhealthy,lock
167,Unhealthy,lock
177,Unhealthy,lock
177,Unhealthy,lock
178,Unhealthy,lock
191,Unhealthy,lock
231,Very Unhealthy,lock
251,Very Unhealthy,lock
272,Very Unhealthy,lock
237,Very Unhealthy,lock
230,Very Unhealthy,lock
211,Very Unhealthy,lock
201,Very Unhealthy,lock
219,Very Unhealthy,lock
294,Very Unhealthy,lock
282,Very Unhealthy,lock
223,Very Unhealthy,lock
192,Unhealthy,lock
175,Unhealthy,lock
168,Unhealthy,lock
159,Unhealthy,lock
155,Unhealthy,lock
153,Unhealthy,lock
154,Unhealthy,lock
156,Unhealthy,lock
161,Unhealthy,lock
166,Unhealthy,lock
175,Unhealthy,lock
192,Unhealthy,lock
202,Very Unhealthy,lock
216,Very Unhealthy,lock
224,Very Unhealthy,lock
233,Very Unhealthy,lock
268,Very Unhealthy,lock
292,Very Unhealthy,lock
286,Very Unhealthy,lock
290,Very Unhealthy,lock
222,Very Unhealthy,lock
192,Unhealthy,lock
184,Unhealthy,lock
174,Unhealthy,lock
165,Unhealthy,lock
158,Unhealthy,lock
156,Unhealthy,lock
155,Unhealthy,lock
156,Unhealthy,lock
155,Unhealthy,lock
152,Unhealthy,lock
164,Unhealthy,lock
178,Unhealthy,lock
196,Unhealthy,lock
204,Very Unhealthy,lock
201,Very Unhealthy,lock
195,Unhealthy,lock
238,Very Unhealthy,lock
281,Very Unhealthy,lock
304,Hazardous,lock
252,Very Unhealthy,lock
206,Very Unhealthy,lock
186,Unhealthy,lock
170,Unhealthy,lock
166,Unhealthy,lock
175,Unhealthy,lock
203,Very Unhealthy,lock
177,Unhealthy,lock
161,Unhealthy,lock
144,Unhealthy for Sensitive Groups,lock
123,Unhealthy for Sensitive Groups,lock
104,Unhealthy for Sensitive Groups,lock
98,Moderate,lock
94,Moderate,lock
99,Moderate,lock
117,Unhealthy for Sensitive Groups,lock
139,Unhealthy for Sensitive Groups,lock
154,Unhealthy,lock
161,Unhealthy,lock
173,Unhealthy,lock
174,Unhealthy,lock
178,Unhealthy,lock
187,Unhealthy,lock
193,Unhealthy,lock
197,Unhealthy,lock
194,Unhealthy,lock
192,Unhealthy,lock
197,Unhealthy,lock
184,Unhealthy,lock
171,Unhealthy,lock
160,Unhealthy,lock
157,Unhealthy,lock
152,Unhealthy,lock
125,Unhealthy for Sensitive Groups,lock
109,Unhealthy for Sensitive Groups,lock
110,Unhealthy for Sensitive Groups,lock
110,Unhealthy for Sensitive Groups,lock
107,Unhealthy for Sensitive Groups,lock
115,Unhealthy for Sensitive Groups,lock
128,Unhealthy for Sensitive Groups,lock
142,Unhealthy for Sensitive Groups,lock
154,Unhealthy,lock
152,Unhealthy,lock
152,Unhealthy,lock
152,Unhealthy,lock
152,Unhealthy,lock
159,Unhealthy,lock
161,Unhealthy,lock
164,Unhealthy,lock
165,Unhealthy,lock
162,Unhealthy,lock
159,Unhealthy,lock
155,Unhealthy,lock
135,Unhealthy for Sensitive Groups,lock
99,Moderate,lock
89,Moderate,lock
81,Moderate,lock
81,Moderate,lock
85,Moderate,lock
84,Moderate,lock
79,Moderate,lock
77,Moderate,lock
76,Moderate,lock
83,Moderate,lock
119,Unhealthy for Sensitive Groups,lock
149,Unhealthy for Sensitive Groups,lock
152,Unhealthy,lock
152,Unhealthy,lock
152,Unhealthy,lock
152,Unhealthy,lock
153,Unhealthy,lock
151,Unhealthy,lock
145,Unhealthy for Sensitive Groups,lock
154,Unhealthy,lock
156,Unhealthy,lock
155,Unhealthy,lock
154,Unhealthy,lock
149,Unhealthy for Sensitive Groups,lock
144,Unhealthy for Sensitive Groups,lock
98,Moderate,lock
78,Moderate,lock
66,Moderate,lock
68,Moderate,lock
68,Moderate,lock
68,Moderate,lock
73,Moderate,lock
83,Moderate,lock
91,Moderate,lock
126,Unhealthy for Sensitive Groups,lock
152,Unhealthy,lock
158,Unhealthy,lock
158,Unhealthy,lock
160,Unhealthy,lock
165,Unhealthy,lock
162,Unhealthy,lock
166,Unhealthy,lock
186,Unhealthy,lock
187,Unhealthy,lock
186,Unhealthy,lock
193,Unhealthy,lock
199,Unhealthy,lock
193,Unhealthy,lock
187,Unhealthy,lock
166,Unhealthy,lock
162,Unhealthy,lock
160,Unhealthy,lock
156,Unhealthy,lock
133,Unhealthy for Sensitive Groups,lock
115,Unhealthy for Sensitive Groups,lock
107,Unhealthy for Sensitive Groups,lock
106,Unhealthy for Sensitive Groups,lock
122,Unhealthy for Sensitive Groups,lock
142,Unhealthy for Sensitive Groups,lock
158,Unhealthy,lock
162,Unhealthy,lock
165,Unhealthy,lock
169,Unhealthy,lock
168,Unhealthy,lock
168,Unhealthy,lock
168,Unhealthy,lock
170,Unhealthy,lock
170,Unhealthy,lock
168,Unhealthy,lock
172,Unhealthy,lock
189,Unhealthy,lock
205,Very Unhealthy,lock
233,Very Unhealthy,lock
230,Very Unhealthy,lock
197,Unhealthy,lock
171,Unhealthy,lock
158,Unhealthy,lock
146,Unhealthy for Sensitive Groups,lock
139,Unhealthy for Sensitive Groups,lock
139,Unhealthy for Sensitive Groups,lock
146,Unhealthy for Sensitive Groups,lock
153,Unhealthy,lock
193,Unhealthy,lock
205,Very Unhealthy,lock
201,Very Unhealthy,lock
210,Very Unhealthy,lock
220,Very Unhealthy,lock
212,Very Unhealthy,lock
187,Unhealthy,lock
174,Unhealthy,lock
164,Unhealthy,lock
161,Unhealthy,lock
157,Unhealthy,lock
155,Unhealthy,lock
155,Unhealthy,lock
154,Unhealthy,lock
154,Unhealthy,lock
155,Unhealthy,lock
153,Unhealthy,lock
154,Unhealthy,lock
154,Unhealthy,lock
153,Unhealthy,lock
152,Unhealthy,lock
152,Unhealthy,lock
151,Unhealthy,lock
173,Unhealthy,lock
159,Unhealthy,lock
154,Unhealthy,lock
153,Unhealthy,lock
144,Unhealthy for Sensitive Groups,lock
119,Unhealthy for Sensitive Groups,lock
122,Unhealthy for Sensitive Groups,lock
117,Unhealthy for Sensitive Groups,lock
144,Unhealthy for Sensitive Groups,lock
162,Unhealthy,lock
160,Unhealthy,lock
162,Unhealthy,lock
182,Unhealthy,lock
201,Very Unhealthy,lock
190,Unhealthy,lock
180,Unhealthy,lock
174,Unhealthy,lock
165,Unhealthy,lock
161,Unhealthy,lock
162,Unhealthy,lock
164,Unhealthy,lock
166,Unhealthy,lock
170,Unhealthy,lock
157,Unhealthy,lock
142,Unhealthy for Sensitive Groups,lock
148,Unhealthy for Sensitive Groups,lock
145,Unhealthy for Sensitive Groups,lock
138,Unhealthy for Sensitive Groups,lock
161,Unhealthy,lock
152,Unhealthy,lock
123,Unhealthy for Sensitive Groups,lock
154,Unhealthy,lock
153,Unhealthy,lock
161,Unhealthy,lock
163,Unhealthy,lock
169,Unhealthy,lock
157,Unhealthy,lock
153,Unhealthy,lock
142,Unhealthy for Sensitive Groups,lock
151,Unhealthy,lock
155,Unhealthy,lock
156,Unhealthy,lock
159,Unhealthy,lock
153,Unhealthy,lock
136,Unhealthy for Sensitive Groups,lock
131,Unhealthy for Sensitive Groups,lock
134,Unhealthy for Sensitive Groups,lock
146,Unhealthy for Sensitive Groups,lock
154,Unhealthy,lock
163,Unhealthy,lock
165,Unhealthy,lock
157,Unhealthy,lock
150,Unhealthy for Sensitive Groups,lock
128,Unhealthy for Sensitive Groups,lock
123,Unhealthy for Sensitive Groups,lock
153,Unhealthy,lock
167,Unhealthy,lock
175,Unhealthy,lock
188,Unhealthy,lock
190,Unhealthy,lock
178,Unhealthy,lock
175,Unhealthy,lock
178,Unhealthy,lock
184,Unhealthy,lock
183,Unhealthy,lock
190,Unhealthy,lock
194,Unhealthy,lock
189,Unhealthy,lock
181,Unhealthy,lock
177,Unhealthy,lock
173,Unhealthy,lock
173,Unhealthy,lock
170,Unhealthy,lock
160,Unhealthy,lock
153,Unhealthy,lock
143,Unhealthy for Sensitive Groups,lock
131,Unhealthy for Sensitive Groups,lock
150,Unhealthy for Sensitive Groups,lock
159,Unhealthy,lock
168,Unhealthy,lock
183,Unhealthy,lock
193,Unhealthy,lock
213,Very Unhealthy,lock
197,Unhealthy,lock
212,Very Unhealthy,lock
196,Unhealthy,lock
199,Unhealthy,lock
209,Very Unhealthy,lock
228,Very Unhealthy,lock
223,Very Unhealthy,lock
184,Unhealthy,lock
161,Unhealthy,lock
146,Unhealthy for Sensitive Groups,lock
130,Unhealthy for Sensitive Groups,lock
