Location,Date & Time,SO2,NO,NO2,NOX,CO,O3,PM2.5,PM10,WS,WD,Temp,RH,BP,SR,Rain,VWS
BARC,, ppb , ppb , ppb , ppb , ppm , ppb , ug/m3 , ug/m3 , m/s , degre----- , degreC , % , HPa , W/m2 , m m ,
BARC,1/1/2024 1:00,,15.24,93.53,108.77,1.17,5.27,126.44,,1.43,95.1,13.39,98.11,1014.75,,,
BARC,1/1/2024 2:00,1.54,13.88,85.92,99.8,0.71,5.14,136.39,,1.2,83.79,12.56,88.25,1014.33,,,
BARC,1/1/2024 3:00,0.77,25.25,104.05,129.3,0.38,4.8,135.97,,0.9,78.13,11.93,94.33,1014.18,,,
BARC,1/1/2024 4:00,1.44,23.43,95.11,118.54,0.71,4.86,130.37,,1.22,61.73,11.24,94.39,1014,,,
BARC,1/1/2024 5:00,0.74,13.29,80.04,93.33,0.21,4.91,121.19,,1.18,66.78,10.75,98.25,1014.25,,,
BARC,1/1/2024 6:00,0.74,13.15,75.18,88.33,1.4,4.58,114.75,,0.65,73.45,11.15,92.18,1014.85,,,
BARC,1/1/2024 7:00,1.05,17.47,89.75,107.22,1.56,4.99,109.62,,0.81,73.34,11.01,95.03,1015.58,2.7,,
BARC,1/1/2024 8:00,0.93,28.03,102.45,130.48,1.57,4.6,124.02,,0.22,65.03,11.22,98.34,1016.13,65.8,,
BARC,1/1/2024 9:00,1.22,33.88,121.21,155.09,2.19,4.42,121.02,,0.44,56.5,12.58,91.78,1016.6,184.4,,
BARC,1/1/2024 10:00,1.08,41.93,157.6,199.53,2.23,4.82,114.9,,0.63,66.97,14.4,88.53,1016.98,304.1,,
BARC,1/1/2024 11:00,0.68,37.36,156.13,193.49,1.84,6.2,123.46,,1.56,66.14,15.83,99.52,1016.58,405.4,,
BARC,1/1/2024 12:00,3.57,18.37,124.55,142.92,1.68,8.28,132.14,,1.47,58.96,16.49,90.96,1015.58,243.3,,
BARC,1/1/2024 13:00,4.22,8.15,92.54,100.69,1.17,9.79,140.77,,2.18,68.68,17.55,94.54,1014.48,335.7,,
BARC,1/1/2024 14:00,3.23,5.23,60.52,65.75,0.99,9.67,153.53,,1.74,68.91,17.9,83.77,1013.55,318.5,,
BARC,1/1/2024 15:00,1.82,3.58,47.67,51.25,0.64,10.27,140.64,,1.01,68.56,18.98,75.46,1012.83,316.9,,
BARC,1/1/2024 16:00,2.2,2.1,44.77,46.87,1.15,10.01,125.23,,1.48,79.89,19.73,79.73,1012.6,193.8,,
BARC,1/1/2024 17:00,1.98,2.58,56.09,58.67,1.27,8.69,120.01,,1.6,73.78,18.55,86.37,1012.73,52.1,,
BARC,1/1/2024 18:00,1.11,2.3,81.08,83.38,1.54,6.35,116.19,,0.58,84.46,16.97,97.3,1013.03,0.6,,
BARC,1/1/2024 19:00,1.53,9.55,107.24,116.79,2.17,4.33,120.87,,1.03,88.2,16.02,97.61,1013.58,,,
BARC,1/1/2024 20:00,0.96,8.18,112.28,120.46,2.09,2.79,139.81,,0.91,87.12,15.25,97.27,1014.38,,,
BARC,1/1/2024 21:00,1.26,8.63,112.78,121.41,1.79,2.26,149.07,,0.64,70.63,15.07,97.77,1014.95,,,
BARC,1/1/2024 22:00,1.19,26.55,145.02,171.57,1.87,1.45,148.18,,0.4,85.53,14.69,99.84,1015.25,,,
BARC,1/1/2024 23:00,1.36,94.42,238.56,332.98,2.2,0.66,168.46,,0.05,102.42,13.83,97.62,1014.7,,,
BARC,1/2/2024 0:00,1.16,71.59,201.81,273.4,2,0.54,167.68,,0.41,101.11,11.69,90.37,976.23,,,
BARC,1/2/2024 1:00,1.23,36.49,153.92,190.41,1.32,0.44,156.13,,0.97,89.7,11.77,89.32,741.5,,,
BARC,1/2/2024 2:00,1.17,29.18,143.75,172.93,1.33,0.42,146.23,,1,80.61,11.78,92.77,741.5,,,
BARC,1/2/2024 3:00,0.88,21.6,125.24,146.84,1.31,0.51,126.97,,0.65,92.03,11.72,88.42,741.5,,,
BARC,1/2/2024 4:00,0.74,13.72,104.28,118,1.23,0.47,118.07,,0.92,61.27,11.38,87.46,741.5,,,
BARC,1/2/2024 5:00,0.9,15.1,98.01,113.11,1.49,0.5,125.79,,0.88,67.83,10.56,96.38,741.5,,,
BARC,1/2/2024 6:00,0.71,12.38,94.31,106.69,1.35,0.56,124.18,,0.87,82.36,10.41,96.71,741.5,,,
BARC,1/2/2024 7:00,1.08,24.41,105,129.41,1.4,0.54,120.17,,0.38,49.05,,91.71,741.5,2.6,,
BARC,1/2/2024 8:00,2,36.71,120.31,157.02,1.47,0.83,129.98,,0.75,61.4,10.6,95.96,741.5,69.4,,
BARC,1/2/2024 9:00,3.96,30.48,112.02,142.5,1.46,1.29,138.67,,1.13,58.94,10.08,88.35,741.53,176,,
BARC,1/2/2024 10:00,3.3,26.75,106.11,132.86,1.42,2.61,139.69,,1.26,75.3,11.56,92.03,741.6,306.3,,
BARC,1/2/2024 11:00,1.71,14.42,84.72,99.14,1.12,6.5,155.35,,0.82,88.73,12.91,93.06,741.6,424.8,,
BARC,1/2/2024 12:00,1.44,14.54,95.58,110.12,1.28,9.22,150.3,,0.57,148.04,14.51,86.42,741.6,230.5,,
BARC,1/2/2024 13:00,1.84,17.22,99.55,116.77,1.04,10.16,147.91,,0.45,110.68,17.52,73.78,741.6,343.8,,
BARC,1/2/2024 14:00,2.41,15.95,113.43,129.38,1.02,10.19,151.49,,1.53,76.12,17.94,72.32,741.6,296.2,,
BARC,1/2/2024 15:00,3.31,21.26,131.1,152.36,1.05,7.37,146.68,,1.48,95.12,17.29,76.89,741.6,259.4,,
