Dhaka,Chittagong,Gazipur,Narayanganj,Sylhet,Khulna,Rajshahi,Barisal,Savar,Mymensingh,Rangpur,Cumilla,Narsingdi,status_id
177,167,240,176,168,152,237,116,271,299,225,185,192,2023
161,101,176,133,125,69,173,116,173,299,172,90,138,2023
256,181,239,284,176,211,314,116,236,239,303,178,192,2023
248,181,316,289,176,176,319,175,237,245,406,178,242,2023
272,167,230,329,176,217,255,187,225,190,200,178,198,2023
245,183,209,267,176,219,416,194,242,196,252,178,184,2023
256,171,264,382,176,184,200,183,281,198,249,188,202,2023
202,183,191,269,176,170,196,168,196,192,193,188,189,2023
302,170,275,365,176,207,268,169,276,227,243,188,198,2023
283,181,252,350,166,198,294,184,237,207,243,188,194,2023
272,178,245,368,195,220,253,183,271,235,255,188,201,2023
263,191,248,294,171,195,255,178,254,221,255,188,187,2023
268,191,233,330,196,220,373,228,254,277,273,188,205,2023
212,158,248,297,196,209,263,186,237,226,242,175,192,2023
243,187,273,275,199,232,299,189,237,185,292,173,195,2023
329,187,285,399,246,245,298,196,237,238,317,173,240,2023
255,191,302,335,245,226,307,190,237,217,329,179,204,2023
246,246,280,361,245,166,344,159,192,267,284,199,174,2023
277,189,308,361,245,168,353,159,192,287,267,198,187,2023
189,122,186,242,245,168,234,156,157,172,158,165,172,2023
313,181,294,391,224,294,400,195,188,273,359,165,234,2023
392,183,331,441,219,169,430,197,186,267,402,175,225,2023
240,184,228,257,219,190,263,176,186,219,216,176,208,2023
338,185,282,376,188,136,438,240,186,282,402,189,214,2023
338,225,337,350,188,231,366,228,186,326,332,189,248,2023
198,158,244,188,155,177,184,123,186,189,195,189,218,2023
276,197,251,313,155,347,201,165,186,215,195,189,217,2023
337,204,270,337,155,263,364,214,186,333,296,181,212,2023
307,179,224,227,155,297,312,176,186,278,271,168,194,2023
303,205,314,381,155,187,327,172,186,262,270,184,199,2023
272,243,297,280,155,208,325,190,186,267,330,184,237,2023
240,185,225,331,153,195,263,167,186,192,220,184,131,2023
176,171,178,200,127,164,217,152,186,177,191,162,183,2023
189,180,197,278,125,178,224,163,186,186,210,162,191,2023
265,188,253,310,316,191,299,180,186,221,233,193,184,2023
252,226,273,382,230,191,305,179,186,211,390,210,194,2023
217,200,243,198,229,181,300,152,186,179,266,182,186,2023
182,264,200,244,167,230,259,167,186,196,184,182,156,2023
269,186,216,193,183,170,250,142,186,211,183,158,135,2023
234,186,275,225,151,219,310,164,186,249,233,158,295,2023
178,161,176,193,151,162,223,139,178,199,153,168,163,2023
246,246,280,361,151,166,344,159,192,267,284,199,174,2023
277,189,308,361,151,168,353,159,192,287,267,198,187,2023
189,122,186,242,151,168,234,156,157,172,158,165,172,2023
175,210,220,177,296,154,344,121,196,215,252,194,182,2023
167,162,173,167,174,149,285,124,152,158,232,155,146,2023
185,176,173,167,170,172,246,157,152,187,176,155,167,2023
185,154,220,292,172,211,280,160,151,152,189,155,178,2023
215,170,268,254,166,187,280,155,152,156,251,177,180,2023
294,178,273,249,164,182,311,159,156,162,220,181,196,2023
191,165,196,241,176,183,299,165,190,196,215,181,195,2023
121,121,135,100,87,183,179,150,104,111,108,89,195,2023
163,136,168,258,163,183,174,150,131,166,156,162,195,2023
