Dhaka,Chittagong,Gazipur,Narayanganj
177,167,240,176
161,101,176,133
256,181,239,284
248,181,316,289
272,167,230,329
245,183,209,267
256,171,264,382
202,183,191,269
302,170,275,365
283,181,252,350
272,178,245,368
263,191,248,294
268,191,233,330
212,158,248,297
243,187,273,275
329,187,285,399
255,191,302,335
246,246,280,361
277,189,308,361
189,122,186,242
313,181,294,391
392,183,331,441
240,184,228,257
338,185,282,376
338,225,337,350
198,158,244,188
276,197,251,313
337,204,270,337
307,179,224,227
303,205,314,381
272,243,297,280
240,185,225,331
176,171,178,200
189,180,197,278
265,188,253,310
252,226,273,382
217,200,243,198
182,264,200,244
269,186,216,193
234,186,275,225
178,161,176,193
246,246,280,361
277,189,308,361
189,122,186,242
175,210,220,177
167,162,173,167
185,176,173,167
185,154,220,292
215,170,268,254
294,178,273,249
191,165,196,241
121,121,135,100
163,136,168,258
