Dhaka,Chittagong,Gazipur,Narayanganj,Sylhet,Khulna,Rajshahi
177,167,240,176,168,152,237
161,101,176,133,125,69,173
256,181,239,284,176,211,314
248,181,316,289,176,176,319
272,167,230,329,176,217,255
245,183,209,267,176,219,416
256,171,264,382,176,184,200
202,183,191,269,176,170,196
302,170,275,365,176,207,268
283,181,252,350,166,198,294
272,178,245,368,195,220,253
263,191,248,294,171,195,255
268,191,233,330,196,220,373
212,158,248,297,196,209,263
243,187,273,275,199,232,299
329,187,285,399,246,245,298
255,191,302,335,245,226,307
246,246,280,361,245,166,344
277,189,308,361,245,168,353
189,122,186,242,245,168,234
313,181,294,391,224,294,400
392,183,331,441,219,169,430
240,184,228,257,219,190,263
338,185,282,376,188,136,438
338,225,337,350,188,231,366
198,158,244,188,155,177,184
276,197,251,313,155,347,201
337,204,270,337,155,263,364
307,179,224,227,155,297,312
303,205,314,381,155,187,327
272,243,297,280,155,208,325
240,185,225,331,153,195,263
176,171,178,200,127,164,217
189,180,197,278,125,178,224
265,188,253,310,316,191,299
252,226,273,382,230,191,305
217,200,243,198,229,181,300
182,264,200,244,167,230,259
269,186,216,193,183,170,250
234,186,275,225,151,219,310
178,161,176,193,151,162,223
246,246,280,361,151,166,344
277,189,308,361,151,168,353
189,122,186,242,151,168,234
175,210,220,177,296,154,344
167,162,173,167,174,149,285
185,176,173,167,170,172,246
185,154,220,292,172,211,280
215,170,268,254,166,187,280
294,178,273,249,164,182,311
191,165,196,241,176,183,299
121,121,135,100,87,183,179
163,136,168,258,163,183,174
