Date (LT),Hour,NowCast Conc.,Conc. Unit,AQI,AQI Category,QC Name,Covid,D
23/03/2020 00:00,0,50.2,ug/m3,137,Unhealthy for Sensitive Groups,Valid,3,Ma
23/03/2020 01:00,1,64.6,ug/m3,156,Unhealthy,Valid,3,Ma
23/03/2020 02:00,2,81.3,ug/m3,164,Unhealthy,Valid,3,Ma
23/03/2020 03:00,3,89.6,ug/m3,169,Unhealthy,Valid,3,Ma
23/03/2020 04:00,4,88.3,ug/m3,168,Unhealthy,Valid,3,Ma
23/03/2020 05:00,5,75.1,ug/m3,161,Unhealthy,Valid,3,Ma
23/03/2020 06:00,6,69,ug/m3,158,Unhealthy,Valid,3,Ma
23/03/2020 07:00,7,84.5,ug/m3,166,Unhealthy,Valid,3,Ma
23/03/2020 08:00,8,82.2,ug/m3,165,Unhealthy,Valid,3,Ma
23/03/2020 09:00,9,67.1,ug/m3,157,Unhealthy,Valid,3,Ma
23/03/2020 10:00,10,67.5,ug/m3,157,Unhealthy,Valid,3,Ma
23/03/2020 11:00,11,52.2,ug/m3,142,Unhealthy for Sensitive Groups,Valid,3,Ma
23/03/2020 12:00,12,48.6,ug/m3,133,Unhealthy for Sensitive Groups,Valid,3,Ma
23/03/2020 13:00,13,52.3,ug/m3,142,Unhealthy for Sensitive Groups,Valid,3,Ma
23/03/2020 14:00,14,53.1,ug/m3,144,Unhealthy for Sensitive Groups,Valid,3,Ma
23/03/2020 15:00,15,48,ug/m3,132,Unhealthy for Sensitive Groups,Valid,3,Ma
23/03/2020 16:00,16,48,ug/m3,132,Unhealthy for Sensitive Groups,Valid,3,Ma
23/03/2020 17:00,17,51.5,ug/m3,140,Unhealthy for Sensitive Groups,Valid,3,Ma
23/03/2020 18:00,18,62.2,ug/m3,154,Unhealthy,Valid,3,Ma
23/03/2020 19:00,19,74.1,ug/m3,161,Unhealthy,Valid,3,Ma
23/03/2020 20:00,20,89,ug/m3,168,Unhealthy,Valid,3,Ma
23/03/2020 21:00,21,100.5,ug/m3,174,Unhealthy,Valid,3,Ma
23/03/2020 22:00,22,120.2,ug/m3,184,Unhealthy,Valid,3,Ma
23/03/2020 23:00,23,127.1,ug/m3,188,Unhealthy,Valid,3,Ma
24/03/2020 00:00,0,121,ug/m3,185,Unhealthy,Valid,3,Ma
24/03/2020 01:00,1,119.5,ug/m3,184,Unhealthy,Valid,3,Ma
24/03/2020 02:00,2,156.7,ug/m3,207,Very Unhealthy,Valid,3,Ma
24/03/2020 03:00,3,193.9,ug/m3,244,Very Unhealthy,Valid,3,Ma
24/03/2020 04:00,4,212.9,ug/m3,263,Very Unhealthy,Valid,3,Ma
24/03/2020 05:00,5,231,ug/m3,281,Very Unhealthy,Valid,3,Ma
24/03/2020 06:00,6,239,ug/m3,289,Very Unhealthy,Valid,3,Ma
24/03/2020 07:00,7,221,ug/m3,271,Very Unhealthy,Valid,3,Ma
24/03/2020 08:00,8,219,ug/m3,269,Very Unhealthy,Valid,3,Ma
24/03/2020 09:00,9,158.5,ug/m3,209,Very Unhealthy,Valid,3,Ma
24/03/2020 10:00,10,111.2,ug/m3,180,Unhealthy,Valid,3,Ma
24/03/2020 11:00,11,88.1,ug/m3,168,Unhealthy,Valid,3,Ma
24/03/2020 12:00,12,76,ug/m3,162,Unhealthy,Valid,3,Ma
24/03/2020 13:00,13,70.5,ug/m3,159,Unhealthy,Valid,3,Ma
24/03/2020 14:00,14,68.7,ug/m3,158,Unhealthy,Valid,3,Ma
24/03/2020 15:00,15,72.3,ug/m3,160,Unhealthy,Valid,3,Ma
24/03/2020 16:00,16,74.1,ug/m3,161,Unhealthy,Valid,3,Ma
24/03/2020 17:00,17,75.5,ug/m3,161,Unhealthy,Valid,3,Ma
24/03/2020 18:00,18,78.7,ug/m3,163,Unhealthy,Valid,3,Ma
24/03/2020 19:00,19,85.8,ug/m3,167,Unhealthy,Valid,3,Ma
24/03/2020 20:00,20,105.5,ug/m3,177,Unhealthy,Valid,3,Ma
24/03/2020 21:00,21,105.2,ug/m3,177,Unhealthy,Valid,3,Ma
24/03/2020 22:00,22,108,ug/m3,178,Unhealthy,Valid,3,Ma
24/03/2020 23:00,23,133.6,ug/m3,191,Unhealthy,Valid,3,Ma
25/03/2020 00:00,0,180.3,ug/m3,231,Very Unhealthy,Valid,3,Ma
25/03/2020 01:00,1,201.1,ug/m3,251,Very Unhealthy,Valid,3,Ma
25/03/2020 02:00,2,222.6,ug/m3,272,Very Unhealthy,Valid,3,Ma
25/03/2020 03:00,3,186.8,ug/m3,237,Very Unhealthy,Valid,3,Ma
25/03/2020 04:00,4,179.4,ug/m3,230,Very Unhealthy,Valid,3,Ma
25/03/2020 05:00,5,160.7,ug/m3,211,Very Unhealthy,Valid,3,Ma
25/03/2020 06:00,6,150.8,ug/m3,201,Very Unhealthy,Valid,3,Ma
25/03/2020 07:00,7,168.9,ug/m3,219,Very Unhealthy,Valid,3,Ma
25/03/2020 08:00,8,244.4,ug/m3,294,Very Unhealthy,Valid,3,Ma
25/03/2020 09:00,9,232.2,ug/m3,282,Very Unhealthy,Valid,3,Ma
25/03/2020 10:00,10,172.6,ug/m3,223,Very Unhealthy,Valid,3,Ma
25/03/2020 11:00,11,134.8,ug/m3,192,Unhealthy,Valid,3,Ma
25/03/2020 12:00,12,101.8,ug/m3,175,Unhealthy,Valid,3,Ma
25/03/2020 13:00,13,87.9,ug/m3,168,Unhealthy,Valid,3,Ma
25/03/2020 14:00,14,70.9,ug/m3,159,Unhealthy,Valid,3,Ma
25/03/2020 15:00,15,63.9,ug/m3,155,Unhealthy,Valid,3,Ma
25/03/2020 16:00,16,59.9,ug/m3,153,Unhealthy,Valid,3,Ma
25/03/2020 17:00,17,61.9,ug/m3,154,Unhealthy,Valid,3,Ma
25/03/2020 18:00,18,64.9,ug/m3,156,Unhealthy,Valid,3,Ma
25/03/2020 19:00,19,73.9,ug/m3,161,Unhealthy,Valid,3,Ma
25/03/2020 20:00,20,84.4,ug/m3,166,Unhealthy,Valid,3,Ma
25/03/2020 21:00,21,102.7,ug/m3,175,Unhealthy,Valid,3,Ma
25/03/2020 22:00,22,135.8,ug/m3,192,Unhealthy,Valid,3,Ma
25/03/2020 23:00,23,151.9,ug/m3,202,Very Unhealthy,Valid,3,Ma
26/03/2020 00:00,0,165.4,ug/m3,216,Very Unhealthy,Valid,3,Ma
26/03/2020 01:00,1,174.2,ug/m3,224,Very Unhealthy,Valid,3,Ma
26/03/2020 02:00,2,182.6,ug/m3,233,Very Unhealthy,Valid,3,Ma
26/03/2020 03:00,3,217.8,ug/m3,268,Very Unhealthy,Valid,3,Ma
26/03/2020 04:00,4,242.4,ug/m3,292,Very Unhealthy,Valid,3,Ma
26/03/2020 05:00,5,236.2,ug/m3,286,Very Unhealthy,Valid,3,Ma
26/03/2020 06:00,6,240.1,ug/m3,290,Very Unhealthy,Valid,3,Ma
26/03/2020 07:00,7,172,ug/m3,222,Very Unhealthy,Valid,3,Ma
26/03/2020 08:00,8,135.5,ug/m3,192,Unhealthy,Valid,3,Ma
26/03/2020 09:00,9,119.2,ug/m3,184,Unhealthy,Valid,3,Ma
26/03/2020 10:00,10,99.6,ug/m3,174,Unhealthy,Valid,3,Ma
26/03/2020 11:00,11,82.7,ug/m3,165,Unhealthy,Valid,3,Ma
26/03/2020 12:00,12,68.8,ug/m3,158,Unhealthy,Valid,3,Ma
26/03/2020 13:00,13,65.9,ug/m3,156,Unhealthy,Valid,3,Ma
26/03/2020 14:00,14,62.4,ug/m3,155,Unhealthy,Valid,3,Ma
26/03/2020 15:00,15,64.7,ug/m3,156,Unhealthy,Valid,3,Ma
26/03/2020 16:00,16,62.3,ug/m3,155,Unhealthy,Valid,3,Ma
26/03/2020 17:00,17,57.1,ug/m3,152,Unhealthy,Valid,3,Ma
26/03/2020 18:00,18,81.5,ug/m3,164,Unhealthy,Valid,3,Ma
26/03/2020 19:00,19,108.2,ug/m3,178,Unhealthy,Valid,3,Ma
26/03/2020 20:00,20,143.6,ug/m3,196,Unhealthy,Valid,3,Ma
26/03/2020 21:00,21,153.8,ug/m3,204,Very Unhealthy,Valid,3,Ma
26/03/2020 22:00,22,150.9,ug/m3,201,Very Unhealthy,Valid,3,Ma
26/03/2020 23:00,23,140.4,ug/m3,195,Unhealthy,Valid,3,Ma
27/03/2020 00:00,0,188.2,ug/m3,238,Very Unhealthy,Valid,3,Ma
27/03/2020 01:00,1,231.1,ug/m3,281,Very Unhealthy,Valid,3,Ma
27/03/2020 02:00,2,253.6,ug/m3,304,Hazardous,Valid,3,Ma
27/03/2020 03:00,3,201.8,ug/m3,252,Very Unhealthy,Valid,3,Ma
27/03/2020 04:00,4,155.9,ug/m3,206,Very Unhealthy,Valid,3,Ma
27/03/2020 05:00,5,122.4,ug/m3,186,Unhealthy,Valid,3,Ma
