pm10,so2,co,o3,no2
30,20,10,32,9
27,22,12,29,8
39,22,14,32,10
34,22,14,38,10
35,22,12,31,9
46,23,16,32,9
37,23,26,33,11
41,26,20,30,11
52,23,29,24,12
24,24,18,25,8
34,31,25,23,8
27,23,9,33,4
33,26,12,36,8
34,28,13,27,7
29,22,13,36,8
52,60,19,30,8
51,34,21,74,20
37,29,14,31,6
61,34,36,58,15
47,30,15,33,9
30,36,14,26,9
40,36,18,28,15
41,---,27,19,18
44,---,24,16,13
27,---,31,27,12
44,---,51,49,11
25,---,21,39,13
63,---,27,40,17
49,11,23,38,19
38,12,21,35,20
44,10,22,25,16
