Temp,ws,RA,HU,SO
17,0,0,69,89.24
18.4,2,0,68,107.54
18.9,0,0,74,79.21
19.9,2,0,70,72.29
18.7,2,0,60,102.34
18.2,2,0,53,107.14
17.1,2,0,59,62.77
12.5,2.3,0,71,139.88
10.4,2,0,81,95.55
12.3,2,0,80,40.95
12.5,0,0,79,94.64
15.8,2,0,66,106.23
16.8,2,0,73,107.82
17.7,0,0,68,108.85
18.5,2,0,63,99.62
18.6,0,0,68,96.12
19.4,0,0,67,96.12
20,0,0,67,116.66
21.6,0,0,62,109.09
21.5,2,0,64,100.16
19.6,2,0,58,137.94
19.4,2,0,58,82
19,2.3,0,59,93.59
18.5,2.7,0,60,87.77
15.7,2.6,0,66,95.82
16.1,2.4,0,59,78.43
17,2,0,66,115.56
18.2,2,0,64,84.33
17.9,0,0,65,117.63
19.6,0,0,51,115.71
20,2,0,60,89.72
19.6,0,0,69,53.2
21.4,2,0,59,95.93
22.3,2,0,49,125.15
22.3,2,0,55,114.32
23.2,2,0,58,118.82
23.8,3,0,53,138.5
24.2,2,0,55,109.85
22,2.4,0,62,114.52
20.7,2,0,54,155.06
21.5,3,0,49,154.91
22.5,2,0,51,139.19
23.3,2,0,52,124.33
23.4,2,0,51,117.71
22.4,3,0,54,138.39
23.8,2,0,43,144.24
23.5,2,0,56,86.81
19.1,3,0,82,58.98
25.9,2,0,51,155.76
25.8,2,0,49,164.28
25.5,2.3,0,56,172.11
