Date ,month ,AQI,Category,Covid
23,M,137,Unhealthy for Sensitive Groups,lock
23,M,156,Unhealthy,lock
23,M,164,Unhealthy,lock
23,M,169,Unhealthy,lock
23,M,168,Unhealthy,lock
23,M,161,Unhealthy,lock
23,M,158,Unhealthy,lock
23,M,166,Unhealthy,lock
23,M,165,Unhealthy,lock
23,M,157,Unhealthy,lock
23,M,157,Unhealthy,lock
23,M,142,Unhealthy for Sensitive Groups,lock
23,M,133,Unhealthy for Sensitive Groups,lock
23,M,142,Unhealthy for Sensitive Groups,lock
23,M,144,Unhealthy for Sensitive Groups,lock
23,M,132,Unhealthy for Sensitive Groups,lock
23,M,132,Unhealthy for Sensitive Groups,lock
23,M,140,Unhealthy for Sensitive Groups,lock
23,M,154,Unhealthy,lock
23,M,161,Unhealthy,lock
23,M,168,Unhealthy,lock
23,M,174,Unhealthy,lock
23,M,184,Unhealthy,lock
23,M,188,Unhealthy,lock
24,M,185,Unhealthy,lock
24,M,184,Unhealthy,lock
24,M,207,Very Unhealthy,lock
24,M,244,Very Unhealthy,lock
24,M,263,Very Unhealthy,lock
24,M,281,Very Unhealthy,lock
24,M,289,Very Unhealthy,lock
24,M,271,Very Unhealthy,lock
24,M,269,Very Unhealthy,lock
24,M,209,Very Unhealthy,lock
24,M,180,Unhealthy,lock
24,M,168,Unhealthy,lock
24,M,162,Unhealthy,lock
24,M,159,Unhealthy,lock
24,M,158,Unhealthy,lock
24,M,160,Unhealthy,lock
24,M,161,Unhealthy,lock
24,M,161,Unhealthy,lock
24,M,163,Unhealthy,lock
24,M,167,Unhealthy,lock
24,M,177,Unhealthy,lock
24,M,177,Unhealthy,lock
24,M,178,Unhealthy,lock
24,M,191,Unhealthy,lock
25,M,231,Very Unhealthy,lock
25,M,251,Very Unhealthy,lock
25,M,272,Very Unhealthy,lock
25,M,237,Very Unhealthy,lock
25,M,230,Very Unhealthy,lock
25,M,211,Very Unhealthy,lock
25,M,201,Very Unhealthy,lock
25,M,219,Very Unhealthy,lock
25,M,294,Very Unhealthy,lock
25,M,282,Very Unhealthy,lock
25,M,223,Very Unhealthy,lock
25,M,192,Unhealthy,lock
25,M,175,Unhealthy,lock
25,M,168,Unhealthy,lock
25,M,159,Unhealthy,lock
25,M,155,Unhealthy,lock
25,M,153,Unhealthy,lock
25,M,154,Unhealthy,lock
25,M,156,Unhealthy,lock
25,M,161,Unhealthy,lock
25,M,166,Unhealthy,lock
25,M,175,Unhealthy,lock
25,M,192,Unhealthy,lock
25,M,202,Very Unhealthy,lock
26,M,216,Very Unhealthy,lock
26,M,224,Very Unhealthy,lock
26,M,233,Very Unhealthy,lock
26,M,268,Very Unhealthy,lock
26,M,292,Very Unhealthy,lock
26,M,286,Very Unhealthy,lock
26,M,290,Very Unhealthy,lock
26,M,222,Very Unhealthy,lock
26,M,192,Unhealthy,lock
26,M,184,Unhealthy,lock
26,M,174,Unhealthy,lock
26,M,165,Unhealthy,lock
26,M,158,Unhealthy,lock
26,M,156,Unhealthy,lock
26,M,155,Unhealthy,lock
26,M,156,Unhealthy,lock
26,M,155,Unhealthy,lock
26,M,152,Unhealthy,lock
26,M,164,Unhealthy,lock
26,M,178,Unhealthy,lock
26,M,196,Unhealthy,lock
26,M,204,Very Unhealthy,lock
26,M,201,Very Unhealthy,lock
26,M,195,Unhealthy,lock
27,M,238,Very Unhealthy,lock
27,M,281,Very Unhealthy,lock
27,M,304,Hazardous,lock
27,M,252,Very Unhealthy,lock
27,M,206,Very Unhealthy,lock
27,M,186,Unhealthy,lock
27,M,170,Unhealthy,lock
27,M,166,Unhealthy,lock
27,M,175,Unhealthy,lock
27,M,203,Very Unhealthy,lock
27,M,177,Unhealthy,lock
27,M,161,Unhealthy,lock
27,M,144,Unhealthy for Sensitive Groups,lock
27,M,123,Unhealthy for Sensitive Groups,lock
27,M,104,Unhealthy for Sensitive Groups,lock
27,M,98,Moderate,lock
27,M,94,Moderate,lock
27,M,99,Moderate,lock
27,M,117,Unhealthy for Sensitive Groups,lock
27,M,139,Unhealthy for Sensitive Groups,lock
27,M,154,Unhealthy,lock
27,M,161,Unhealthy,lock
27,M,173,Unhealthy,lock
27,M,174,Unhealthy,lock
28,M,178,Unhealthy,lock
28,M,187,Unhealthy,lock
28,M,193,Unhealthy,lock
28,M,197,Unhealthy,lock
28,M,194,Unhealthy,lock
28,M,192,Unhealthy,lock
28,M,197,Unhealthy,lock
28,M,184,Unhealthy,lock
28,M,171,Unhealthy,lock
28,M,160,Unhealthy,lock
28,M,157,Unhealthy,lock
28,M,152,Unhealthy,lock
28,M,125,Unhealthy for Sensitive Groups,lock
28,M,109,Unhealthy for Sensitive Groups,lock
28,M,110,Unhealthy for Sensitive Groups,lock
28,M,110,Unhealthy for Sensitive Groups,lock
28,M,107,Unhealthy for Sensitive Groups,lock
28,M,115,Unhealthy for Sensitive Groups,lock
28,M,128,Unhealthy for Sensitive Groups,lock
28,M,142,Unhealthy for Sensitive Groups,lock
28,M,154,Unhealthy,lock
28,M,152,Unhealthy,lock
28,M,152,Unhealthy,lock
28,M,152,Unhealthy,lock
29,M,152,Unhealthy,lock
29,M,159,Unhealthy,lock
29,M,161,Unhealthy,lock
29,M,164,Unhealthy,lock
29,M,165,Unhealthy,lock
29,M,162,Unhealthy,lock
29,M,159,Unhealthy,lock
29,M,155,Unhealthy,lock
29,M,135,Unhealthy for Sensitive Groups,lock
29,M,99,Moderate,lock
29,M,89,Moderate,lock
29,M,81,Moderate,lock
29,M,81,Moderate,lock
29,M,85,Moderate,lock
29,M,84,Moderate,lock
29,M,79,Moderate,lock
29,M,77,Moderate,lock
29,M,76,Moderate,lock
29,M,83,Moderate,lock
29,M,119,Unhealthy for Sensitive Groups,lock
29,M,149,Unhealthy for Sensitive Groups,lock
29,M,152,Unhealthy,lock
29,M,152,Unhealthy,lock
29,M,152,Unhealthy,lock
30,M,152,Unhealthy,lock
30,M,153,Unhealthy,lock
30,M,151,Unhealthy,lock
30,M,145,Unhealthy for Sensitive Groups,lock
30,M,154,Unhealthy,lock
30,M,156,Unhealthy,lock
30,M,155,Unhealthy,lock
30,M,154,Unhealthy,lock
30,M,149,Unhealthy for Sensitive Groups,lock
30,M,144,Unhealthy for Sensitive Groups,lock
30,M,98,Moderate,lock
30,M,78,Moderate,lock
30,M,66,Moderate,lock
30,M,68,Moderate,lock
30,M,68,Moderate,lock
30,M,68,Moderate,lock
30,M,73,Moderate,lock
30,M,83,Moderate,lock
30,M,91,Moderate,lock
30,M,126,Unhealthy for Sensitive Groups,lock
30,M,152,Unhealthy,lock
30,M,158,Unhealthy,lock
30,M,158,Unhealthy,lock
30,M,160,Unhealthy,lock
31,M,165,Unhealthy,lock
31,M,162,Unhealthy,lock
31,M,166,Unhealthy,lock
31,M,186,Unhealthy,lock
31,M,187,Unhealthy,lock
31,M,186,Unhealthy,lock
31,M,193,Unhealthy,lock
31,M,199,Unhealthy,lock
31,M,193,Unhealthy,lock
31,M,187,Unhealthy,lock
31,M,166,Unhealthy,lock
31,M,162,Unhealthy,lock
