p,pm,status_type
353.32,239.56,PM
377.76,255.73,PM
358.93,246.32,PM
363.61,254.28,PM
260.23,182.96,PM
302.63,213.63,PM
318.23,234.27,PM
313.89,255.15,PM
320.12,253.82,PM
417.83,315.62,PM
345.6,263.22,PM
289.25,214.06,PM
365.09,264.36,PM
339,234.98,PM
347.8,226.9,PM
395.49,261.86,PM
428.73,274.27,PM
290.14,223.17,PM
320.6,213.69,PM
241.47,167.51,PM
215.36,137.79,PM
201.67,137.51,PM
202.14,141,PM
191.06,136.87,PM
226.51,168.43,PM
209.62,158.67,PM
258.21,197.06,PM
261.95,196.13,PM
261.46,187.65,PM
300.33,215.38,PM
287.98,200.93,PM
380.15,262.2,PM
313.24,211.89,PM
243.83,156.7,PM
249.45,149.17,PM
263.57,159.96,PM
177.74,108.74,PM
202.87,115.05,PM
138.21,79.51,PM
157.4,93.52,PM
176.12,106.63,PM
196.12,122.49,PM
193.23,118.81,PM
205.8,124.76,PM
259.97,157.61,PM
327.01,200.71,PM
249.79,138.73,PM
179.65,101.11,PM
124.47,67.26,PM
148.05,77.16,PM
122.66,63.33,PM
