PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,Status
30.43,76.29,9.9,33.1,25.65,5.35,0.11,7.39,23.15,4.61,11.32,1.81,1
23.81,66.29,13.42,32.49,28.43,6.14,0.11,5.91,9.06,2.32,5.32,1.02,1
30.06,74.16,14.76,33.18,29.88,6.71,0.11,7.37,10.66,3.18,7.75,1.03,1
25.97,57.81,12.62,29.23,26.03,7.56,0.11,5.47,11.72,2.11,4.58,0.84,1
22.3,52.05,13.75,31.35,28.06,7.6,0.11,6.29,9.64,2.31,6.2,1,1
16.62,43.83,15.71,29.33,28.59,7.86,0.11,6.27,6.48,2.4,8.3,1.07,1
14.48,47.4,15.8,29.2,28.6,7.87,0.11,7.26,8.52,2.33,6.63,0.97,1
8.64,30.07,16.1,23.46,25.79,7.55,0.11,6.7,7.66,1.67,4.45,1.16,1
20.49,54.42,9.67,33.31,25.21,8.39,0.11,7.55,32.39,2.6,5.24,1.25,1
23.62,68.95,11.17,33.43,26.86,7.32,0.11,6.02,21.47,3.39,7.85,1.08,1
16.38,38.99,12.22,26.65,24.11,7.86,0.11,5.51,13.98,1.9,9.53,0.89,1
15.05,44.33,13.28,29.41,26.45,7.42,0.11,6.82,16.02,2.74,14.62,1.04,1
20.44,67.82,13.86,31.19,27.86,6.94,0.11,6.81,15.17,3.32,7.74,1.2,1
18.97,65.8,14.74,29.57,27.71,6.95,0.11,7.14,13.23,2.84,6.59,0.98,1
21.07,73.21,13.85,32.55,28.58,5.36,0.11,6.32,13.82,2.58,6.53,1.27,1
21.89,78.22,13.77,36.49,30.61,6.46,0.11,9.16,15.46,3.51,7.6,2.64,1
15.84,63.94,12.65,31.67,27.13,7.52,0.11,5.51,12.02,2.97,4.85,1.37,1
9.21,51.65,11.69,30.52,25.73,7.49,0.11,7.41,10.54,2.9,5.48,2,1
14.61,56.17,15.55,33.08,30.24,8.47,0.11,8.72,10.53,2.79,5.07,1.15,1
9.08,35.35,16.21,30.16,29.22,8.35,0.11,6.56,9.46,2.21,8.55,0.89,1
10.32,51.36,18.55,23.99,27.59,8.48,0.11,3.58,10.7,2.7,4.38,1.05,1
8.61,32.8,8.19,25.18,20.05,8.68,0.11,7.24,12,1.54,4.9,0.71,1
8.41,37.46,10.88,24.6,21.92,8.31,0.11,6.42,9.79,1.76,8.83,0.7,1
,,,,,,,,,,,,1
,,,,,,,,,,,,1
11.07,31.3,4.65,19.97,13.07,7.88,0.11,5.25,11.12,1.51,5.29,1.53,1
10.47,40.29,3.4,21.59,12.95,6.5,0.11,5.58,20.53,1.96,5.06,1.22,1
12.81,46.6,0.73,15.19,7.24,7.68,0.11,6.04,30,2.21,4.22,0.84,1
7.81,46.54,1.73,18.79,10.82,7.96,0.11,8.02,20.17,2.31,9.84,1.25,1
18.16,66.09,1.68,16.27,9.74,8.18,0.11,7.01,30.36,2.69,6.72,1.76,1
