SO2,NO2,O3,CO,PM10,PM2.5
0.004,0.059,0.002,1.2,73,57
0.004,0.058,0.002,1.2,71,59
0.004,0.056,0.002,1.2,70,59
0.004,0.056,0.002,1.2,70,58
0.003,0.051,0.002,1.2,69,61
0.003,0.046,0.002,1.1,70,61
0.003,0.049,0.002,1.1,66,57
0.003,0.045,0.002,1,71,60
0.004,0.047,0.002,1.1,72,60
0.003,0.047,0.002,1.1,74,63
0.004,0.045,0.004,1,76,68
0.004,0.048,0.005,1,83,74
0.004,0.054,0.005,1,93,79
0.005,0.05,0.007,1,94,79
0.006,0.055,0.008,0.9,93,78
0.006,0.056,0.008,0.8,87,69
0.006,0.063,0.004,0.9,87,69
0.005,0.063,0.002,0.9,91,72
0.005,0.063,0.002,1,91,69
0.005,0.062,0.002,1,92,70
0.004,0.056,0.002,0.9,94,74
0.004,0.058,0.002,0.9,93,74
0.004,0.058,0.002,1,89,73
0.004,0.057,0.002,1,91,72
0.004,0.057,0.002,1.1,93,72
0.004,0.057,0.002,1,92,74
0.004,0.055,0.002,1,90,73
0.004,0.053,0.002,1,92,74
0.004,0.052,0.002,1.1,92,76
0.004,0.05,0.002,1,92,77
0.004,0.05,0.002,1,92,76
0.003,0.054,0.002,1.2,88,74
0.004,0.06,0.002,1.4,88,71
0.005,0.066,0.002,1.5,88,69
0.005,0.059,0.004,1.1,85,63
0.005,0.055,0.008,0.8,73,55
0.006,0.037,0.031,0.7,80,59
0.007,0.037,0.034,0.8,104,80
0.006,0.035,0.036,0.9,117,90
0.006,0.038,0.033,1,130,98
0.006,0.039,0.034,1,140,107
0.006,0.039,0.032,1,148,113
0.005,0.04,0.029,1,150,116
0.005,0.045,0.023,1,160,121
