O_NO2,O_PM10,D_NO2,D_PM10,N_NO2,N_PM10,N_O3,W_NO2,W_PM10,S_NO2,S_PM10,S_O3,Datum
20.198383,24.121588,39.2902,28.625479,17.173496,21.61704,55.019634,31.059881,29.980291,26.46127,26.979082,41.240204,0
21.129284,27.58429,42.77808,29.787573,18.20459,23.570198,63.61501,29.147114,28.841148,27.933802,27.163504,46.351395,1
10.572864,21.226019,23.365204,20.177698,12.52863,17.520184,49.85059,18.98697,20.802109,19.046684,22.394537,40.05682,0
2.4988773,10.443746,8.024886,9.551108,1.5566074,11.008045,70.36377,3.7232602,12.437762,2.91965,9.253789,67.47203,1
3.9703488,12.358329,16.046291,14.706214,1.8513063,13.506294,76.321785,5.594554,12.862235,5.1283236,12.524835,72.313705,0
11.360047,23.400778,25.733055,20.03464,5.5622487,20.05828,78.68406,10.400987,19.569628,12.156926,20.518953,71.61431,1
7.259906,20.051764,18.898403,20.17848,4.513586,21.100052,75.64671,11.079294,20.236208,7.433331,20.236246,71.80169,0
15.6018505,23.165565,32.545895,21.30032,11.461421,21.1211,69.423164,15.598249,21.841253,18.278254,22.558859,60.99642,1
16.802217,134.40709,33.62076,124.67506,15.239254,113.58814,57.45084,21.398767,132.9509,20.28749,133.43257,54.44364,0
17.7789,86.1944,28.880283,83.98277,14.761137,87.172005,59.021805,19.311827,85.196205,22.188166,88.62546,41.979343,1
9.339863,36.770782,18.847088,35.771717,10.651808,35.99703,79.84363,11.660928,36.82653,12.521589,38.85705,68.80426,0
6.0556617,12.593661,17.830656,11.967101,4.5767198,10.059171,71.6752,8.185859,10.053161,6.5159845,12.800508,67.09682,1
11.048581,14.492042,26.543715,15.855926,9.848095,14.091641,67.031456,16.712757,14.187299,17.001894,15.247315,60.14205,0
14.605717,23.604464,31.558393,20.54989,12.738755,17.316038,70.82711,20.793562,20.16656,22.88848,22.89585,54.52337,1
18.60231,24.864466,36.718834,26.937052,15.777836,21.811745,74.74194,27.55086,24.47048,26.609747,28.595139,56.99637,0
18.336567,23.829216,37.87222,29.186188,13.5497675,22.554567,82.138374,24.886797,26.770248,24.899567,30.198133,63.672737,1
11.21813,20.147184,28.488657,22.735077,14.1081085,20.5688,66.223595,20.329721,22.93804,15.885124,23.551485,65.06568,0
11.619162,21.015818,24.6124,21.116959,11.138848,22.044271,76.51988,15.562844,22.408035,15.851012,23.001059,63.75794,1
18.283285,35.006252,35.392296,35.710094,16.367727,32.98272,76.58676,25.662468,34.931675,25.087332,38.732773,60.533615,0
17.691122,29.552094,34.77384,31.706541,14.602768,29.181787,74.83469,25.236013,33.043232,22.610458,30.750162,61.42042,1
20.67229,25.926788,39.424225,32.744656,14.371244,27.320776,77.98409,28.683413,31.12235,27.39258,34.40934,54.655613,0
23.719175,33.453857,41.753635,39.376736,19.070055,32.81593,79.859184,28.753548,34.10248,29.114265,36.110565,56.61187,1
18.809195,29.459404,34.18687,30.778269,13.182857,28.72774,93.70531,21.549625,28.94486,23.178675,32.26003,70.20915,0
10.231098,20.935799,20.600693,20.689066,9.016831,21.80934,82.533134,14.806204,20.450201,13.811699,22.616623,68.71144,1
9.1697235,21.785078,20.739471,20.262825,8.197759,23.04804,85.97877,12.783009,19.568857,14.501863,22.209503,68.810074,0
8.028727,18.117445,18.428087,17.575466,11.064682,18.109896,83.91703,10.287814,17.027864,11.585983,19.342234,74.40802,1
