PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,Status
11.91,48.54,2.52,16.76,10.83,8.24,0.11,7.46,28.84,2.2,7.86,0.7,1
23.14,78.4,0.73,23.73,13.11,8.82,0.11,6.94,38.06,4.28,8.47,2.37,1
18.91,67.79,3.03,24.04,15.15,8.38,0.11,5.84,22.73,2.86,6.47,2.15,1
17.54,68.24,1.23,15.64,9.1,8.23,0.11,8.31,16.15,2.45,4.1,1.23,1
8.93,45.07,2.07,12.81,8.43,7.87,0.11,8.22,13.88,2.51,3.47,0.75,1
9.03,45.89,2.72,19.43,12.5,8.14,0.11,8.96,13.65,2.84,9.86,2.31,1
11.3,51.48,1.56,18.09,10.73,8.04,0.11,8.88,18.67,2.56,10.04,1.17,1
12.14,50.8,2.83,18.43,12.07,7.79,0.11,10.45,10.99,2.55,7.03,1.54,1
9.53,40.67,1.39,12.9,7.95,7.94,0.11,7.32,11.38,1.83,8.55,0.93,1
16.51,58.2,0.85,24.04,13.44,9.09,0.11,6.41,24.02,3.84,9.44,3,1
14.04,51.69,1.59,14.28,8.87,8.43,0.11,5.58,11.15,1.72,3.72,0.74,1
6.9,42.63,2.35,12.63,7.91,10.88,0.11,6.46,20.14,1.33,2.4,0.4,1
8.42,50.06,2.09,14.05,9.15,11.07,0.11,6.96,14.28,2.29,6.16,0.77,1
11.88,45.86,2.73,11.76,8.43,12.04,0.11,7.66,14.72,1.8,7.74,0.63,1
11.07,42.11,3.17,11.71,8.78,11.96,0.11,9.7,17.92,1.84,6.42,1,1
2,17.99,1.29,10.24,6.11,9.48,0.11,8.86,19.75,0.73,1.8,0.41,1
6.3,17.76,1.09,12.21,7.07,7.4,0.11,8.56,17.14,0.86,6.9,0.29,1
11.18,36.23,1.47,18.69,10.97,6.78,0.11,7.87,18.33,1.51,8.55,0.88,1
26.88,76.7,2,28.32,16.46,7.56,0.11,10.13,24.73,2.06,5.23,1.31,1
66.22,203.26,11.97,58.99,40.98,11.85,0.11,8.24,37.59,5.64,17.09,3.09,1
45.53,150.21,3.5,48.13,27.74,12.68,0.11,11.82,33.44,3.03,10.55,1.06,1
24.8,90.94,4.34,39.51,24.12,18.93,0.11,6.37,30.61,1.7,3.49,0.72,1
15.91,81.11,3.27,23.59,14.25,13.57,0.11,8.48,37.58,2.55,2.85,0.7,1
10.99,72.39,1.38,20.53,11.8,10.25,0.11,8.73,27.09,2.36,2.94,0.68,1
18.69,75.86,2.76,21.06,13.59,10.77,0.11,7.19,24.62,2.03,3.31,0.66,1
12.35,68.72,1.74,20.24,12.06,9.8,0.11,9.69,23.61,2.56,4.76,0.86,1
26.6,121.23,1.69,20.04,11.9,8.58,0.63,8.42,28.8,2.7,3.33,0.86,1
26.94,102,1.63,20.67,12.23,8.67,0.65,7.34,23.8,2.43,3.76,0.91,1
16.71,62.53,2.6,23.89,13.61,10.62,0.63,7.79,24.1,1.66,4,1.07,1
28.1,84.8,7.43,50.99,27.93,9.21,0.76,16.45,14.82,3.21,10.1,1.9,1
21.22,79.53,2.38,24.88,14.92,11.03,0.57,5.43,17.49,2.08,4.53,0.92,1
