Date ,AQI,Category
23/03/2020 00:00,137,Unhealthy for Sensitive Groups
23/03/2020 01:00,156,Unhealthy
23/03/2020 02:00,164,Unhealthy
23/03/2020 03:00,169,Unhealthy
23/03/2020 04:00,168,Unhealthy
23/03/2020 05:00,161,Unhealthy
23/03/2020 06:00,158,Unhealthy
23/03/2020 07:00,166,Unhealthy
23/03/2020 08:00,165,Unhealthy
23/03/2020 09:00,157,Unhealthy
23/03/2020 10:00,157,Unhealthy
23/03/2020 11:00,142,Unhealthy for Sensitive Groups
23/03/2020 12:00,133,Unhealthy for Sensitive Groups
23/03/2020 13:00,142,Unhealthy for Sensitive Groups
23/03/2020 14:00,144,Unhealthy for Sensitive Groups
23/03/2020 15:00,132,Unhealthy for Sensitive Groups
23/03/2020 16:00,132,Unhealthy for Sensitive Groups
23/03/2020 17:00,140,Unhealthy for Sensitive Groups
23/03/2020 18:00,154,Unhealthy
23/03/2020 19:00,161,Unhealthy
23/03/2020 20:00,168,Unhealthy
23/03/2020 21:00,174,Unhealthy
23/03/2020 22:00,184,Unhealthy
23/03/2020 23:00,188,Unhealthy
24/03/2020 00:00,185,Unhealthy
24/03/2020 01:00,184,Unhealthy
24/03/2020 02:00,207,Very Unhealthy
24/03/2020 03:00,244,Very Unhealthy
24/03/2020 04:00,263,Very Unhealthy
24/03/2020 05:00,281,Very Unhealthy
24/03/2020 06:00,289,Very Unhealthy
24/03/2020 07:00,271,Very Unhealthy
24/03/2020 08:00,269,Very Unhealthy
24/03/2020 09:00,209,Very Unhealthy
24/03/2020 10:00,180,Unhealthy
24/03/2020 11:00,168,Unhealthy
24/03/2020 12:00,162,Unhealthy
24/03/2020 13:00,159,Unhealthy
24/03/2020 14:00,158,Unhealthy
24/03/2020 15:00,160,Unhealthy
24/03/2020 16:00,161,Unhealthy
24/03/2020 17:00,161,Unhealthy
24/03/2020 18:00,163,Unhealthy
24/03/2020 19:00,167,Unhealthy
24/03/2020 20:00,177,Unhealthy
24/03/2020 21:00,177,Unhealthy
24/03/2020 22:00,178,Unhealthy
24/03/2020 23:00,191,Unhealthy
25/03/2020 00:00,231,Very Unhealthy
25/03/2020 01:00,251,Very Unhealthy
25/03/2020 02:00,272,Very Unhealthy
25/03/2020 03:00,237,Very Unhealthy
25/03/2020 04:00,230,Very Unhealthy
25/03/2020 05:00,211,Very Unhealthy
25/03/2020 06:00,201,Very Unhealthy
25/03/2020 07:00,219,Very Unhealthy
25/03/2020 08:00,294,Very Unhealthy
25/03/2020 09:00,282,Very Unhealthy
25/03/2020 10:00,223,Very Unhealthy
25/03/2020 11:00,192,Unhealthy
25/03/2020 12:00,175,Unhealthy
25/03/2020 13:00,168,Unhealthy
25/03/2020 14:00,159,Unhealthy
25/03/2020 15:00,155,Unhealthy
25/03/2020 16:00,153,Unhealthy
25/03/2020 17:00,154,Unhealthy
25/03/2020 18:00,156,Unhealthy
25/03/2020 19:00,161,Unhealthy
25/03/2020 20:00,166,Unhealthy
25/03/2020 21:00,175,Unhealthy
25/03/2020 22:00,192,Unhealthy
25/03/2020 23:00,202,Very Unhealthy
26/03/2020 00:00,216,Very Unhealthy
26/03/2020 01:00,224,Very Unhealthy
26/03/2020 02:00,233,Very Unhealthy
26/03/2020 03:00,268,Very Unhealthy
26/03/2020 04:00,292,Very Unhealthy
26/03/2020 05:00,286,Very Unhealthy
26/03/2020 06:00,290,Very Unhealthy
26/03/2020 07:00,222,Very Unhealthy
26/03/2020 08:00,192,Unhealthy
26/03/2020 09:00,184,Unhealthy
26/03/2020 10:00,174,Unhealthy
26/03/2020 11:00,165,Unhealthy
26/03/2020 12:00,158,Unhealthy
26/03/2020 13:00,156,Unhealthy
26/03/2020 14:00,155,Unhealthy
26/03/2020 15:00,156,Unhealthy
26/03/2020 16:00,155,Unhealthy
26/03/2020 17:00,152,Unhealthy
26/03/2020 18:00,164,Unhealthy
26/03/2020 19:00,178,Unhealthy
26/03/2020 20:00,196,Unhealthy
26/03/2020 21:00,204,Very Unhealthy
26/03/2020 22:00,201,Very Unhealthy
26/03/2020 23:00,195,Unhealthy
27/03/2020 00:00,238,Very Unhealthy
27/03/2020 01:00,281,Very Unhealthy
27/03/2020 02:00,304,Hazardous
27/03/2020 03:00,252,Very Unhealthy
27/03/2020 04:00,206,Very Unhealthy
27/03/2020 05:00,186,Unhealthy
27/03/2020 06:00,170,Unhealthy
27/03/2020 07:00,166,Unhealthy
27/03/2020 08:00,175,Unhealthy
27/03/2020 09:00,203,Very Unhealthy
27/03/2020 10:00,177,Unhealthy
27/03/2020 11:00,161,Unhealthy
27/03/2020 12:00,144,Unhealthy for Sensitive Groups
27/03/2020 13:00,123,Unhealthy for Sensitive Groups
27/03/2020 14:00,104,Unhealthy for Sensitive Groups
27/03/2020 15:00,98,Moderate
27/03/2020 16:00,94,Moderate
27/03/2020 17:00,99,Moderate
27/03/2020 18:00,117,Unhealthy for Sensitive Groups
27/03/2020 19:00,139,Unhealthy for Sensitive Groups
27/03/2020 20:00,154,Unhealthy
27/03/2020 21:00,161,Unhealthy
27/03/2020 22:00,173,Unhealthy
27/03/2020 23:00,174,Unhealthy
28/03/2020 00:00,178,Unhealthy
28/03/2020 01:00,187,Unhealthy
28/03/2020 02:00,193,Unhealthy
28/03/2020 03:00,197,Unhealthy
28/03/2020 04:00,194,Unhealthy
28/03/2020 05:00,192,Unhealthy
28/03/2020 06:00,197,Unhealthy
28/03/2020 07:00,184,Unhealthy
28/03/2020 08:00,171,Unhealthy
28/03/2020 09:00,160,Unhealthy
28/03/2020 10:00,157,Unhealthy
28/03/2020 11:00,152,Unhealthy
28/03/2020 12:00,125,Unhealthy for Sensitive Groups
28/03/2020 13:00,109,Unhealthy for Sensitive Groups
28/03/2020 14:00,110,Unhealthy for Sensitive Groups
28/03/2020 15:00,110,Unhealthy for Sensitive Groups
28/03/2020 16:00,107,Unhealthy for Sensitive Groups
28/03/2020 17:00,115,Unhealthy for Sensitive Groups
28/03/2020 18:00,128,Unhealthy for Sensitive Groups
28/03/2020 19:00,142,Unhealthy for Sensitive Groups
28/03/2020 20:00,154,Unhealthy
28/03/2020 21:00,152,Unhealthy
28/03/2020 22:00,152,Unhealthy
28/03/2020 23:00,152,Unhealthy
29/03/2020 00:00,152,Unhealthy
29/03/2020 01:00,159,Unhealthy
29/03/2020 02:00,161,Unhealthy
29/03/2020 03:00,164,Unhealthy
29/03/2020 04:00,165,Unhealthy
29/03/2020 05:00,162,Unhealthy
29/03/2020 06:00,159,Unhealthy
29/03/2020 07:00,155,Unhealthy
29/03/2020 08:00,135,Unhealthy for Sensitive Groups
29/03/2020 09:00,99,Moderate
29/03/2020 10:00,89,Moderate
29/03/2020 11:00,81,Moderate
29/03/2020 12:00,81,Moderate
29/03/2020 13:00,85,Moderate
29/03/2020 14:00,84,Moderate
29/03/2020 15:00,79,Moderate
29/03/2020 16:00,77,Moderate
29/03/2020 17:00,76,Moderate
29/03/2020 18:00,83,Moderate
29/03/2020 19:00,119,Unhealthy for Sensitive Groups
29/03/2020 20:00,149,Unhealthy for Sensitive Groups
29/03/2020 21:00,152,Unhealthy
29/03/2020 22:00,152,Unhealthy
29/03/2020 23:00,152,Unhealthy
30/03/2020 00:00,152,Unhealthy
30/03/2020 01:00,153,Unhealthy
30/03/2020 02:00,151,Unhealthy
30/03/2020 03:00,145,Unhealthy for Sensitive Groups
30/03/2020 04:00,154,Unhealthy
30/03/2020 05:00,156,Unhealthy
30/03/2020 06:00,155,Unhealthy
30/03/2020 07:00,154,Unhealthy
30/03/2020 08:00,149,Unhealthy for Sensitive Groups
30/03/2020 09:00,144,Unhealthy for Sensitive Groups
30/03/2020 10:00,98,Moderate
30/03/2020 11:00,78,Moderate
30/03/2020 12:00,66,Moderate
30/03/2020 13:00,68,Moderate
30/03/2020 14:00,68,Moderate
30/03/2020 15:00,68,Moderate
30/03/2020 16:00,73,Moderate
30/03/2020 17:00,83,Moderate
30/03/2020 18:00,91,Moderate
30/03/2020 19:00,126,Unhealthy for Sensitive Groups
30/03/2020 20:00,152,Unhealthy
30/03/2020 21:00,158,Unhealthy
30/03/2020 22:00,158,Unhealthy
30/03/2020 23:00,160,Unhealthy
31/03/2020 00:00,165,Unhealthy
31/03/2020 01:00,162,Unhealthy
31/03/2020 02:00,166,Unhealthy
31/03/2020 03:00,186,Unhealthy
31/03/2020 04:00,187,Unhealthy
31/03/2020 05:00,186,Unhealthy
31/03/2020 06:00,193,Unhealthy
31/03/2020 07:00,199,Unhealthy
31/03/2020 08:00,193,Unhealthy
31/03/2020 09:00,187,Unhealthy
31/03/2020 10:00,166,Unhealthy
31/03/2020 11:00,162,Unhealthy
31/03/2020 12:00,160,Unhealthy
31/03/2020 13:00,156,Unhealthy
31/03/2020 14:00,133,Unhealthy for Sensitive Groups
31/03/2020 15:00,115,Unhealthy for Sensitive Groups
31/03/2020 16:00,107,Unhealthy for Sensitive Groups
31/03/2020 17:00,106,Unhealthy for Sensitive Groups
31/03/2020 18:00,122,Unhealthy for Sensitive Groups
31/03/2020 19:00,142,Unhealthy for Sensitive Groups
31/03/2020 20:00,158,Unhealthy
31/03/2020 21:00,162,Unhealthy
31/03/2020 22:00,165,Unhealthy
31/03/2020 23:00,169,Unhealthy
1/4/2020 0:00,168,Unhealthy
1/4/2020 1:00,168,Unhealthy
1/4/2020 2:00,168,Unhealthy
1/4/2020 3:00,170,Unhealthy
1/4/2020 4:00,170,Unhealthy
1/4/2020 5:00,168,Unhealthy
