p,pm
515.31,178.41
473.83,204.03
462.5,278.17
220.83,255
271.03,217.7
263.36,205.36
416.27,290.69
312.39,245.63
276.26,214.04
292.34,214.24
316.72,254.9
322.05,204.31
277.08,204.76
323.88,221.97
265.63,169.15
221.49,161.82
182.53,115.88
199.42,139.79
187.14,121.92
174.87,122.33
181.81,128.02
234.81,171.79
231.51,181.67
245.2,178.18
333.56,203.05
276.5,197.83
342.65,245.73
296.38,224
237.17,167.09
216.19,125.55
242.44,164.65
197.56,119.84
222.8,130.31
132.92,76.68
152.53,114.41
175.19,127.23
187.78,133.07
201.88,128.23
196.72,125.24
208.37,169.8
353.63,228.31
262.7,156.97
211.45,123.9
41.62,77.41
54.98,93.16
36.05,80.11
32.16,84.13
30.68,88.66
101.84,106.93
201.59,148.79
157.07,74.04
133.99,89.51
