p,pm,status_type
388.12,274.59,PM
443.78,292.14,PM
440.4,297.39,PM
362.31,266.01,PM
265.14,189.65,PM
305.77,205.87,PM
326.73,243.88,PM
310.45,252.26,PM
310.18,242.09,PM
372.09,297.31,PM
363.32,287.66,PM
369.64,263.24,PM
430.76,285.17,PM
394.89,274.04,PM
370.77,239.47,PM
399.54,256.46,PM
427.11,276.92,PM
299.54,186.57,PM
347.17,195.14,PM
276.99,157.56,PM
229.16,144.7,PM
241.84,169.55,PM
220.43,150.31,PM
200.5,137.31,PM
219.6,159.74,PM
218.14,131.88,PM
289.35,214.01,PM
278.26,219.56,PM
333.07,223.26,PM
402.5,257.84,PM
413.14,258.53,PM
486.78,304.72,PM
380.09,257.9,PM
355.4,221.62,PM
311.39,184.89,PM
355.6,217.65,PM
283.7,177.89,PM
276.47,161.52,PM
167.5,102.66,PM
194.83,117.4,PM
241.96,144.66,PM
215.5,168.34,PM
175.79,144.19,PM
94.16,150.56,PM
325.1,178.31,PM
354.03,208.85,PM
326.63,112.45,PM
167.81,30.59,PM
135.83,114.27,PM
209.45,134.82,PM
187.12,119.49,PM
157.33,105.47,PM
163.7,74.47,PM
253.63,94.27,PM
201.43,180,PM
188.17,108.86,PM
151.96,85.74,PM
