Date ,AQI,Category,Covid
M,137,Unhealthy for Sensitive Groups,lock
M,156,Unhealthy,lock
M,164,Unhealthy,lock
M,169,Unhealthy,lock
M,168,Unhealthy,lock
M,161,Unhealthy,lock
M,158,Unhealthy,lock
M,166,Unhealthy,lock
M,165,Unhealthy,lock
M,157,Unhealthy,lock
M,157,Unhealthy,lock
M,142,Unhealthy for Sensitive Groups,lock
M,133,Unhealthy for Sensitive Groups,lock
M,142,Unhealthy for Sensitive Groups,lock
M,144,Unhealthy for Sensitive Groups,lock
M,132,Unhealthy for Sensitive Groups,lock
M,132,Unhealthy for Sensitive Groups,lock
M,140,Unhealthy for Sensitive Groups,lock
M,154,Unhealthy,lock
M,161,Unhealthy,lock
M,168,Unhealthy,lock
M,174,Unhealthy,lock
M,184,Unhealthy,lock
M,188,Unhealthy,lock
M,185,Unhealthy,lock
M,184,Unhealthy,lock
M,207,Very Unhealthy,lock
M,244,Very Unhealthy,lock
M,263,Very Unhealthy,lock
M,281,Very Unhealthy,lock
M,289,Very Unhealthy,lock
M,271,Very Unhealthy,lock
M,269,Very Unhealthy,lock
M,209,Very Unhealthy,lock
M,180,Unhealthy,lock
M,168,Unhealthy,lock
M,162,Unhealthy,lock
M,159,Unhealthy,lock
M,158,Unhealthy,lock
M,160,Unhealthy,lock
M,161,Unhealthy,lock
M,161,Unhealthy,lock
M,163,Unhealthy,lock
M,167,Unhealthy,lock
M,177,Unhealthy,lock
M,177,Unhealthy,lock
M,178,Unhealthy,lock
M,191,Unhealthy,lock
M,231,Very Unhealthy,lock
M,251,Very Unhealthy,lock
M,272,Very Unhealthy,lock
M,237,Very Unhealthy,lock
M,230,Very Unhealthy,lock
M,211,Very Unhealthy,lock
M,201,Very Unhealthy,lock
M,219,Very Unhealthy,lock
M,294,Very Unhealthy,lock
M,282,Very Unhealthy,lock
M,223,Very Unhealthy,lock
M,192,Unhealthy,lock
M,175,Unhealthy,lock
M,168,Unhealthy,lock
M,159,Unhealthy,lock
M,155,Unhealthy,lock
M,153,Unhealthy,lock
M,154,Unhealthy,lock
M,156,Unhealthy,lock
M,161,Unhealthy,lock
M,166,Unhealthy,lock
M,175,Unhealthy,lock
M,192,Unhealthy,lock
M,202,Very Unhealthy,lock
M,216,Very Unhealthy,lock
M,224,Very Unhealthy,lock
M,233,Very Unhealthy,lock
M,268,Very Unhealthy,lock
M,292,Very Unhealthy,lock
M,286,Very Unhealthy,lock
M,290,Very Unhealthy,lock
M,222,Very Unhealthy,lock
M,192,Unhealthy,lock
M,184,Unhealthy,lock
M,174,Unhealthy,lock
M,165,Unhealthy,lock
M,158,Unhealthy,lock
M,156,Unhealthy,lock
M,155,Unhealthy,lock
M,156,Unhealthy,lock
M,155,Unhealthy,lock
M,152,Unhealthy,lock
M,164,Unhealthy,lock
M,178,Unhealthy,lock
M,196,Unhealthy,lock
M,204,Very Unhealthy,lock
M,201,Very Unhealthy,lock
M,195,Unhealthy,lock
M,238,Very Unhealthy,lock
M,281,Very Unhealthy,lock
M,304,Hazardous,lock
M,252,Very Unhealthy,lock
M,206,Very Unhealthy,lock
M,186,Unhealthy,lock
M,170,Unhealthy,lock
M,166,Unhealthy,lock
M,175,Unhealthy,lock
M,203,Very Unhealthy,lock
M,177,Unhealthy,lock
M,161,Unhealthy,lock
M,144,Unhealthy for Sensitive Groups,lock
M,123,Unhealthy for Sensitive Groups,lock
M,104,Unhealthy for Sensitive Groups,lock
M,98,Moderate,lock
M,94,Moderate,lock
M,99,Moderate,lock
M,117,Unhealthy for Sensitive Groups,lock
M,139,Unhealthy for Sensitive Groups,lock
M,154,Unhealthy,lock
M,161,Unhealthy,lock
M,173,Unhealthy,lock
M,174,Unhealthy,lock
M,178,Unhealthy,lock
M,187,Unhealthy,lock
M,193,Unhealthy,lock
M,197,Unhealthy,lock
M,194,Unhealthy,lock
M,192,Unhealthy,lock
M,197,Unhealthy,lock
M,184,Unhealthy,lock
M,171,Unhealthy,lock
M,160,Unhealthy,lock
M,157,Unhealthy,lock
M,152,Unhealthy,lock
M,125,Unhealthy for Sensitive Groups,lock
M,109,Unhealthy for Sensitive Groups,lock
M,110,Unhealthy for Sensitive Groups,lock
M,110,Unhealthy for Sensitive Groups,lock
M,107,Unhealthy for Sensitive Groups,lock
M,115,Unhealthy for Sensitive Groups,lock
M,128,Unhealthy for Sensitive Groups,lock
M,142,Unhealthy for Sensitive Groups,lock
M,154,Unhealthy,lock
M,152,Unhealthy,lock
M,152,Unhealthy,lock
M,152,Unhealthy,lock
M,152,Unhealthy,lock
M,159,Unhealthy,lock
M,161,Unhealthy,lock
M,164,Unhealthy,lock
M,165,Unhealthy,lock
M,162,Unhealthy,lock
M,159,Unhealthy,lock
M,155,Unhealthy,lock
M,135,Unhealthy for Sensitive Groups,lock
M,99,Moderate,lock
M,89,Moderate,lock
M,81,Moderate,lock
M,81,Moderate,lock
M,85,Moderate,lock
M,84,Moderate,lock
M,79,Moderate,lock
M,77,Moderate,lock
M,76,Moderate,lock
M,83,Moderate,lock
M,119,Unhealthy for Sensitive Groups,lock
M,149,Unhealthy for Sensitive Groups,lock
M,152,Unhealthy,lock
M,152,Unhealthy,lock
M,152,Unhealthy,lock
M,152,Unhealthy,lock
M,153,Unhealthy,lock
M,151,Unhealthy,lock
M,145,Unhealthy for Sensitive Groups,lock
M,154,Unhealthy,lock
M,156,Unhealthy,lock
M,155,Unhealthy,lock
M,154,Unhealthy,lock
M,149,Unhealthy for Sensitive Groups,lock
M,144,Unhealthy for Sensitive Groups,lock
M,98,Moderate,lock
M,78,Moderate,lock
M,66,Moderate,lock
M,68,Moderate,lock
M,68,Moderate,lock
M,68,Moderate,lock
M,73,Moderate,lock
M,83,Moderate,lock
M,91,Moderate,lock
M,126,Unhealthy for Sensitive Groups,lock
M,152,Unhealthy,lock
M,158,Unhealthy,lock
M,158,Unhealthy,lock
M,160,Unhealthy,lock
M,165,Unhealthy,lock
M,162,Unhealthy,lock
M,166,Unhealthy,lock
M,186,Unhealthy,lock
M,187,Unhealthy,lock
M,186,Unhealthy,lock
M,193,Unhealthy,lock
M,199,Unhealthy,lock
M,193,Unhealthy,lock
M,187,Unhealthy,lock
M,166,Unhealthy,lock
M,162,Unhealthy,lock
M,160,Unhealthy,lock
M,156,Unhealthy,lock
M,133,Unhealthy for Sensitive Groups,lock
M,115,Unhealthy for Sensitive Groups,lock
M,107,Unhealthy for Sensitive Groups,lock
M,106,Unhealthy for Sensitive Groups,lock
M,122,Unhealthy for Sensitive Groups,lock
M,142,Unhealthy for Sensitive Groups,lock
M,158,Unhealthy,lock
M,162,Unhealthy,lock
M,165,Unhealthy,lock
M,169,Unhealthy,lock
a,168,Unhealthy,lock
a,168,Unhealthy,lock
a,168,Unhealthy,lock
a,170,Unhealthy,lock
a,170,Unhealthy,lock
a,168,Unhealthy,lock
a,172,Unhealthy,lock
a,189,Unhealthy,lock
