SO2,NO2,O3,CO,PM10,PM2.5
0.004,0.059,0.002,1.2,73,57
0.004,0.058,0.002,1.2,71,59
0.004,0.056,0.002,1.2,70,59
0.004,0.056,0.002,1.2,70,58
0.003,0.051,0.002,1.2,69,61
0.003,0.046,0.002,1.1,70,61
0.003,0.049,0.002,1.1,66,57
0.003,0.045,0.002,1,71,60
0.004,0.047,0.002,1.1,72,60
0.003,0.047,0.002,1.1,74,63
0.004,0.045,0.004,1,76,68
0.004,0.048,0.005,1,83,74
0.004,0.054,0.005,1,93,79
0.005,0.05,0.007,1,94,79
0.006,0.055,0.008,0.9,93,78
0.006,0.056,0.008,0.8,87,69
0.006,0.063,0.004,0.9,87,69
0.005,0.063,0.002,0.9,91,72
0.005,0.063,0.002,1,91,69
0.005,0.062,0.002,1,92,70
0.004,0.056,0.002,0.9,94,74
0.004,0.058,0.002,0.9,93,74
0.004,0.058,0.002,1,89,73
0.004,0.057,0.002,1,91,72
0.004,0.057,0.002,1.1,93,72
0.004,0.057,0.002,1,92,74
0.004,0.055,0.002,1,90,73
0.004,0.053,0.002,1,92,74
0.004,0.052,0.002,1.1,92,76
0.004,0.05,0.002,1,92,77
0.004,0.05,0.002,1,92,76
0.003,0.054,0.002,1.2,88,74
0.004,0.06,0.002,1.4,88,71
0.005,0.066,0.002,1.5,88,69
0.005,0.059,0.004,1.1,85,63
0.005,0.055,0.008,0.8,73,55
0.006,0.037,0.031,0.7,80,59
0.007,0.037,0.034,0.8,104,80
0.006,0.035,0.036,0.9,117,90
0.006,0.038,0.033,1,130,98
0.006,0.039,0.034,1,140,107
0.006,0.039,0.032,1,148,113
0.005,0.04,0.029,1,150,116
0.005,0.045,0.023,1,160,121
0.004,0.044,0.019,1,154,116
0.004,0.041,0.018,1.1,153,113
0.005,0.028,0.031,0.9,146,111
0.005,0.019,0.041,0.9,145,114
0.005,0.022,0.034,1,148,113
0.004,0.023,0.029,1,142,109
0.004,0.015,0.035,0.8,122,95
0.004,0.015,0.033,0.7,100,73
0.004,0.019,0.029,0.8,95,69
0.004,0.026,0.022,0.8,94,70
0.004,0.037,0.012,0.8,83,58
0.004,0.057,0.003,1,72,51
0.004,0.065,0.003,1.4,76,57
0.005,0.055,0.006,1.2,82,54
0.006,0.046,0.012,0.9,76,57
0.006,0.052,0.011,0.9,75,53
0.006,0.052,0.016,0.8,75,53
0.006,0.056,0.013,0.8,71,48
0.007,0.045,0.02,0.6,76,53
0.006,0.044,0.019,0.6,59,39
0.005,0.047,0.016,0.5,52,32
0.005,0.053,0.008,0.6,42,25
0.004,0.062,0.002,0.7,38,21
0.004,0.062,0.002,0.8,36,22
0.004,0.067,0.002,0.8,33,21
0.005,0.066,0.002,0.8,35,24
0.005,0.066,0.002,0.7,35,23
0.005,0.07,0.002,1,33,24
0.005,0.073,0.002,1.2,36,24
0.005,0.065,0.002,0.9,32,20
0.005,0.062,0.002,0.9,29,21
0.005,0.063,0.002,0.9,34,21
0.005,0.06,0.002,0.8,37,23
0.005,0.061,0.002,0.9,36,22
0.005,0.061,0.002,0.9,38,28
0.005,0.071,0.002,1.3,41,29
0.005,0.074,0.002,1.4,43,30
0.006,0.077,0.003,1.7,51,34
0.007,0.083,0.003,1.7,64,48
0.007,0.064,0.014,1.3,80,60
0.007,0.051,0.016,1,83,56
0.007,0.052,0.017,0.9,80,56
0.006,0.037,0.026,0.7,68,50
0.005,0.032,0.029,0.6,57,38
0.005,0.036,0.025,0.7,52,35
0.005,0.043,0.017,0.7,57,36
0.005,0.047,0.014,0.8,58,37
0.005,0.048,0.011,0.8,57,41
0.005,0.053,0.007,0.7,49,35
0.004,0.054,0.006,0.8,48,31
0.005,0.065,0.002,1.1,46,31
0.005,0.064,0.002,1.1,51,32
0.004,0.055,0.004,0.9,49,32
0.004,0.055,0.002,0.9,50,32
0.005,0.052,0.003,0.9,54,34
0.005,0.05,0.003,0.9,55,37
0.004,0.05,0.002,0.9,59,39
0.005,0.049,0.002,0.9,59,41
0.005,0.053,0.002,0.1,63,43
0.005,0.058,0.002,1.2,58,44
0.005,0.058,0.003,1,57,43
0.005,0.053,0.004,1.1,60,43
0.005,0.053,0.006,0.9,58,38
0.005,0.048,0.005,0.7,45,30
0.005,0.035,0.015,0.5,37,23
0.005,0.027,0.022,0.4,19,11
0.004,0.022,0.025,0.4,22,6
0.004,0.027,0.022,0.4,14,6
0.004,0.031,0.019,0.4,16,4
0.004,0.036,0.015,0.4,15,4
0.004,0.034,0.015,0.4,13,6
0.004,0.029,0.019,0.3,9,4
0.003,0.032,0.017,0.3,6,2
0.004,0.033,0.016,0.4,6,1
0.003,0.025,0.021,0.3,6,2
0.003,0.027,0.02,0.3,7,2
0.003,0.021,0.024,0.3,7,2
0.003,0.019,0.026,0.3,4,1
0.003,0.015,0.028,0.3,5,1
0.003,0.016,0.027,0.3,5,2
0.003,0.016,0.027,0.3,4,1
0.003,0.025,0.02,0.3,8,1
0.003,0.036,0.011,0.3,7,1
0.003,0.047,0.004,0.6,7,3
0.003,0.05,0.004,0.6,12,5
0.003,0.045,0.008,0.6,15,5
0.004,0.038,0.012,0.5,19,8
0.004,0.039,0.013,0.5,22,10
0.004,0.034,0.018,0.4,22,7
0.005,0.033,0.019,0.4,19,9
0.004,0.035,0.017,0.5,19,15
0.004,0.036,0.019,0.5,21,15
0.004,0.041,0.014,0.5,25,13
0.004,0.054,0.004,0.6,31,23
0.004,0.059,0.002,0.7,35,21
0.004,0.06,0.002,0.7,39,23
0.004,0.054,0.002,0.7,40,27
0.004,0.058,0.002,0.8,35,22
0.004,0.068,0.002,1,37,21
0.005,0.071,0.002,1.2,40,22
0.004,0.071,0.002,1.3,41,27
0.005,0.073,0.002,1.4,38,26
0.004,0.064,0.002,1.2,43,33
0.004,0.061,0.002,1.2,44,32
0.004,0.054,0.002,1.1,42,31
0.004,0.049,0.002,0.9,42,33
0.004,0.048,0.002,0.9,42,33
0.004,0.052,0.002,1.1,45,36
0.004,0.048,0.002,1,52,39
0.004,0.051,0.003,1,55,42
0.004,0.04,0.006,0.7,53,38
0.005,0.044,0.007,0.8,50,36
0.006,0.043,0.011,0.7,58,39
0.006,0.043,0.017,0.6,60,44
0.005,0.057,0.009,0.7,69,52
0.005,0.061,0.007,0.7,73,54
0.005,0.061,0.005,0.7,76,56
0.005,0.066,0.002,0.9,77,61
0.004,0.068,0.002,1,73,57
0.005,0.067,0.002,0.9,65,48
0.005,0.063,0.002,0.9,60,44
0.005,0.064,0.002,0.9,57,42
0.005,0.065,0.002,1,56,40
0.005,0.062,0.002,0.9,58,41
