Id,SO2,NO2,O3,CO,PM10,PM2.5,country
1,0.004,0.059,0.002,1.2,73,57,skoria
3,0.004,0.058,0.002,1.2,71,59,skoria
4,0.004,0.056,0.002,1.2,70,59,skoria
5,0.004,0.056,0.002,1.2,70,58,skoria
6,0.003,0.051,0.002,1.2,69,61,skoria
7,0.003,0.046,0.002,1.1,70,61,skoria
8,0.003,0.049,0.002,1.1,66,57,skoria
9,0.003,0.045,0.002,1,71,60,skoria
10,0.004,0.047,0.002,1.1,72,60,skoria
11,0.003,0.047,0.002,1.1,74,63,skoria
12,0.004,0.045,0.004,1,76,68,skoria
13,0.004,0.048,0.005,1,83,74,skoria
14,0.004,0.054,0.005,1,93,79,skoria
15,0.005,0.05,0.007,1,94,79,skoria
16,0.006,0.055,0.008,0.9,93,78,skoria
17,0.006,0.056,0.008,0.8,87,69,skoria
18,0.006,0.063,0.004,0.9,87,69,skoria
19,0.005,0.063,0.002,0.9,91,72,skoria
20,0.005,0.063,0.002,1,91,69,skoria
21,0.005,0.062,0.002,1,92,70,skoria
22,0.004,0.056,0.002,0.9,94,74,skoria
23,0.004,0.058,0.002,0.9,93,74,skoria
