O_NO2,O_PM10,D_NO2,D_PM10,N_NO2,N_PM10,N_O3,W_NO2,W_PM10,S_NO2,S_PM10,S_O3,Datu,Datum
20,24,39,28,17,21,55,31,29,26,26,41,Air,1
21,27,42,29,18,23,63,29,28,27,27,46,po,1
10,21,23,20,12,17,49,18,20,19,22,40,Air,1
2,10,8,9,1,11,70,3,12,2,9,67,po,1
3,12,16,14,1,13,76,5,12,5,12,72,Air,1
11,23,25,20,5,20,78,10,19,12,20,71,po,1
7,20,18,20,4,21,75,11,20,7,20,71,Air,1
15,23,32,21,11,21,69,15,21,18,22,60,po,1
16,134,33,124,15,113,57,21,132,20,133,54,Air,1
17,86,28,83,14,87,59,19,85,22,88,41,po,1
9,36,18,35,10,35,79,11,36,12,38,68,Air,1
6,12,17,11,4,10,71,8,10,6,12,67,po,1
11,14,26,15,9,14,67,16,14,17,15,60,Air,1
14,23,31,20,12,17,70,20,20,22,22,54,po,1
18,24,36,26,15,21,74,27,24,26,28,56,Air,1
18,23,37,29,13,22,82,24,26,24,30,63,po,1
11,20,28,22,14,20,66,20,22,15,23,65,Air,1
11,21,24,21,11,22,76,15,22,15,23,63,po,1
18,35,35,35,16,32,76,25,34,25,38,60,Air,1
17,29,34,31,14,29,74,25,33,22,30,61,po,1
20,25,39,32,14,27,77,28,31,27,34,54,Air,1
23,33,41,39,19,32,79,28,34,29,36,56,po,1
18,29,34,30,13,28,93,21,28,23,32,70,Air,1
10,20,20,20,9,21,82,14,20,13,22,68,po,1
9,21,20,20,8,23,85,12,19,14,22,68,Air,1
8,18,18,17,11,18,83,10,17,11,19,74,po,1
